hymn	stanza	line	offset	pronoun	page	zh
111	2	6	1	祢	116	在祢神聖經綸裏面，
111	3	0	6	祢	116	哦，主耶穌，祢是那人——
112	7	1	1	祢	118	在祢聖所中行走，
113	1	3	0	祢	118	祢的工作都已得勝，
113	2	0	0	祢	118	祢的聖首曾被芒刺，
113	2	3	8	祢	118	哦主，我們眞讚美祢，
113	2	5	4	祢	118	並說：惟祢是配！
119	5	3	2	祢	124	惟見祢美麗自己。
120	1	4	7	祢	125	我敬拜祢、讚美祢，
120	2	3	0	祢	125	祢欲救人，人絕祢；
120	2	3	7	祢	125	祢欲救人，人絕祢；
120	3	2	0	祢	125	祢是父神所愛所鍾，
120	3	4	3	祢	125	我仰望祢、記念祢，
120	4	4	7	祢	125	我敬愛祢，順服祢，
121	4	2	3	祢	126	我們從祢憔悴面貌，
121	5	3	6	祢	126	“神的羔羊，祢是配。”
124	4	5	1	祢	130	因祢捨命身亡；
125	3	3	3	祢	130	神卻使祢高升。
129	1	0	6	祢	134	我主耶穌，惟祢是配，
129	4	0	3	祢	134	耶穌，祢是首先、末後，
129	4	1	0	祢	134	祢要領我到盡頭；
129	4	2	7	祢	134	因着已往我讚美祢，
130	3	4	0	祢	135	祢使我們堅定站立，
132	4	4	1	祢	137	作祢恩愛的標本，
133	2	4	2	你	138	舉起你心，提高聲浪，
134	1	2	0	祢	139	祢用恩手逐步提挈，
136	3	7	4	祢	141	領我就近祢身旁！
139	2	2	3	祢	144	我們愛祢，因祢忍受
139	3	2	1	祢	144	但祢卻爲仇敵被殺！
139	6	1	1	祢	144	像祢在凡事上！
141	1	2	5	祢	146	在各各他，祢與我一，
141	1	3	5	祢	146	在天，我與祢一。
141	3	3	1	祢	146	使祢肢體釋放。
144	1-chorus	2	4	祢	149	惟恐我忘祢愛無極，
146	6	0	3	祢	152	我既從祢可愛的名，
147	2	2	5	祢	153	天上缺少了祢，
148	4	5	5	祢	154	惟我救主，祢最高超！
149	2	3	5	祢	155	祢既受苦、祢又捨身；
149	2	4	0	祢	155	祢這永受頌讚的神！
151	1	2	0	祢	157	祢的活水我已嘗，
151	1	7	1	祢	157	是祢智慧所量。
151	2	2	0	祢	157	祢將污穢的罪人，
154	1-chorus	0	5	祢	160	讚美羔羊！祢眞是配！
154	2	1	0	祢	160	祢寶血流出，
154	3	1	0	祢	160	祢愛不止息；
155	1-chorus	3	7	祢	161	祢的榮耀，因爲祢眞是配。
157	2	4	2	祢	163	主，祢是配；主，祢是配；
